iter	RMSE
0	14.70453051
1	14.31202731
2	13.89492106
3	13.50722472
4	13.10975624
5	12.76079916
6	12.43312979
7	12.10560365
8	11.77120702
9	11.45244409
10	11.15228746
11	10.85242079
12	10.55837071
13	10.27490242
14	10.03309986
15	9.766052536
16	9.516725026
17	9.288099455
18	9.050752288
19	8.82867166
20	8.618079169
21	8.40855129
22	8.200013974
23	8.011007426
24	7.823122639
25	7.653608612
26	7.482685485
27	7.322841372
28	7.168896298
29	7.020735188
30	6.883518034
31	6.73917018
32	6.590113529
33	6.465932533
34	6.337580902
35	6.236169022
36	6.128824137
37	6.018653852
38	5.918920171
39	5.81502725
40	5.716085424
41	5.619861451
42	5.526679944
43	5.441043702
44	5.363425455
45	5.280534914
46	5.212394866
47	5.140984732
48	5.076142107
49	5.010392192
50	4.94744569
51	4.8866761
52	4.825296174
53	4.760426019
54	4.705934766
55	4.650313872
56	4.596817242
57	4.546049464
58	4.499747503
59	4.448324026
60	4.394506281
61	4.348207216
62	4.304321502
63	4.264445524
64	4.225641783
65	4.186484298
66	4.14965457
67	4.115206382
68	4.078108523
69	4.047106304
70	4.018479597
71	3.986097428
72	3.95202085
73	3.920364558
74	3.892781061
75	3.870999591
76	3.844288178
77	3.820385236
78	3.79486964
79	3.773492342
80	3.750462974
81	3.732938419
82	3.712615907
83	3.693088168
84	3.675666107
85	3.656669266
86	3.637803554
87	3.620003325
88	3.603751844
89	3.587390004
90	3.572656818
91	3.556903854
92	3.541496377
93	3.527692378
94	3.51267046
95	3.501285814
96	3.487415462
97	3.472905898
98	3.460042029
99	3.45003206
100	3.435292206
101	3.421652255
102	3.411908077
103	3.40208157
104	3.391723625
105	3.382368371
106	3.371407981
107	3.363655169
108	3.354015534
109	3.343683949
110	3.335185579
111	3.325095934
112	3.317370361
113	3.308490294
114	3.301556503
115	3.29241213
116	3.285108632
117	3.279110517
118	3.273816442
119	3.266639332
120	3.259328587
121	3.253396442
122	3.246399269
123	3.239632137
124	3.231294845
125	3.224942183
126	3.21786936
127	3.210122917
128	3.204127463
129	3.197261988
130	3.189993171
131	3.185267967
132	3.183107727
133	3.177650824
134	3.172830559
135	3.166505048
136	3.161739851
137	3.155573463
138	3.150729873
139	3.146378267
140	3.14188482
141	3.137377824
142	3.133708671
143	3.129407112
144	3.124858395
145	3.121299481
146	3.115573226
147	3.114295608
148	3.109988521
149	3.105212108
150	3.101162042
151	3.097876523
152	3.094521009
153	3.090952098
154	3.085646266
155	3.081880978
156	3.076212345
157	3.072436914
158	3.068250083
159	3.064078452
160	3.060451109
161	3.056181032
162	3.054704945
163	3.051594893
164	3.046277454
165	3.043512433
166	3.039825355
167	3.03551778
168	3.032439426
169	3.029080669
170	3.024904611
171	3.022770652
172	3.020121886
173	3.01700424
174	3.01434328
175	3.010610899
176	3.005662558
177	3.002650314
178	2.999834571
179	2.995623108
180	2.993374412
181	2.992100548
182	2.988214086
183	2.986936147
184	2.982680924
185	2.976948195
186	2.97505209
187	2.971984736
188	2.969129604
189	2.967371772
190	2.964876853
191	2.961610187
192	2.960135525
193	2.957304042
194	2.955319737
195	2.951669632
196	2.94867666
197	2.944767683
198	2.941911344
199	2.937447382
200	2.935050551
201	2.931889221
202	2.927824261
203	2.926512176
204	2.923778663
205	2.920433641
206	2.917440958
207	2.915848731
208	2.911647945
209	2.907166829
210	2.905608054
211	2.904205834
212	2.901502607
213	2.899710317
214	2.896997019
215	2.894667245
216	2.891998464
217	2.888321852
218	2.884477176
219	2.883390277
220	2.881579588
221	2.880261661
222	2.879547323
223	2.879346555
224	2.876266431
225	2.872455495
226	2.868280045
227	2.863723837
228	2.862418178
229	2.861328778
230	2.860633681
231	2.855860483
232	2.854465837
233	2.852437967
234	2.850236174
235	2.848091284
236	2.846732072
237	2.844687514
238	2.84383265
239	2.842333779
240	2.840646366
241	2.839035439
242	2.837791567
243	2.836845062
244	2.835805258
245	2.832800083
246	2.830604057
247	2.830364378
248	2.827167371
249	2.826025271
250	2.822982058
251	2.820778857
252	2.817383258
253	2.814718207
254	2.809758944
255	2.805154784
256	2.802901882
257	2.799698841
258	2.79562751
259	2.793177016
260	2.79045175
261	2.786404027
262	2.783807273
263	2.781397944
264	2.778237047
265	2.773957616
266	2.772783673
267	2.768539566
268	2.767529192
269	2.766979088
270	2.764574535
271	2.763435292
272	2.761058885
273	2.758311159
274	2.754737171
275	2.752127704
276	2.749866526
277	2.748447415
278	2.747289301
279	2.741915001
280	2.738780785
281	2.736247475
282	2.734585122
283	2.730889399
284	2.727701432
285	2.723243013
286	2.719479496
287	2.71686398
288	2.714531937
289	2.711102741
290	2.706263275
291	2.701742598
292	2.697849663
293	2.695485547
294	2.692470285
295	2.689816529
296	2.68875039
297	2.687510613
298	2.683516224
299	2.681718663
300	2.679934005
301	2.676163736
302	2.672861716
303	2.669161616
304	2.668178238
305	2.667980483
306	2.664923434
307	2.663351666
308	2.660958111
309	2.657805981
310	2.656905326
311	2.653722955
312	2.649953886
313	2.64726554
314	2.644480573
315	2.642044916
316	2.639679515
317	2.63741875
318	2.637254584
319	2.636684881
320	2.635786184
321	2.630231841
322	2.626371116
323	2.624031749
324	2.620527466
325	2.619198541
326	2.616302263
327	2.615501212
328	2.613138534
329	2.610676053
330	2.607447143
331	2.603693672
332	2.601786628
333	2.601494125
334	2.598634587
335	2.595878956
336	2.594063563
337	2.592709575
338	2.589825229
339	2.588932695
340	2.586476045
341	2.585915544
342	2.583769608
343	2.579920068
344	2.577775733
345	2.576665026
346	2.574130594
347	2.573598474
348	2.571561563
349	2.567726056
350	2.5672256
351	2.564112667
352	2.562680557
353	2.560291301
354	2.559048429
355	2.554728218
356	2.552124431
357	2.550509146
358	2.546305311
359	2.544109345
360	2.54275378
361	2.538438965
362	2.537914806
363	2.535082088
364	2.53115156
365	2.527368461
366	2.525229987
367	2.522969164
368	2.521336482
369	2.518977305
370	2.518356311
371	2.515606195
372	2.513180029
373	2.509752619
374	2.507617622
375	2.505465218
376	2.503306687
377	2.501862811
378	2.499823164
379	2.497263986
380	2.495650943
381	2.49492283
382	2.492607476
383	2.490510332
384	2.48635577
385	2.483508173
386	2.48096818
387	2.480102344
388	2.478716902
389	2.476030265
390	2.473003088
391	2.468565169
392	2.467370082
393	2.46462283
394	2.462984997
395	2.461761047
396	2.458281935
397	2.45696849
398	2.453419728
399	2.451023942
400	2.446802147
401	2.443969471
402	2.441302709
403	2.440914723
404	2.439810276
405	2.435628992
406	2.431398136
407	2.431130066
408	2.42769554
409	2.424901488
410	2.420900587
411	2.419301258
412	2.417500993
413	2.41546377
414	2.412991017
415	2.412360906
416	2.41069865
417	2.410194381
418	2.409988406
419	2.408707787
420	2.405936339
421	2.403596074
422	2.402616092
423	2.400837629
424	2.396795869
425	2.39603412
426	2.39161985
427	2.389461325
428	2.38650418
429	2.383583569
430	2.382505886
431	2.38030092
432	2.377847282
433	2.376329681
434	2.372747959
435	2.369087448
436	2.367043016
437	2.365692865
438	2.362178437
439	2.35964083
440	2.357669175
441	2.355390037
442	2.35203695
443	2.350430321
444	2.345688987
445	2.345304023
446	2.343199379
447	2.341576677
448	2.341120738
449	2.339089648
450	2.337045672
451	2.3342152
452	2.331529994
453	2.330010767
454	2.327903957
455	2.32648003
456	2.321745319
457	2.319376262
458	2.317413497
459	2.31582935
460	2.313531844
461	2.313093054
462	2.312970616
463	2.308986453
464	2.307679389
465	2.307588672
466	2.305860952
467	2.303785969
468	2.30103923
469	2.299442614
470	2.297343821
471	2.296353627
472	2.294824785
473	2.294410721
474	2.29300902
475	2.290527635
476	2.287225569
477	2.286794522
478	2.285494436
479	2.283588303
480	2.281546428
481	2.27997301
482	2.278108319
483	2.276865275
484	2.275474133
485	2.271148315
486	2.270467689
487	2.268954403
488	2.266342043
489	2.264074325
490	2.262797155
491	2.260366104
492	2.258720462
493	2.257468133
494	2.253450724
495	2.252268805
496	2.250701359
497	2.249425243
498	2.248277066
499	2.247666483
500	2.246052542
501	2.242838581
502	2.24043887
503	2.23789524
504	2.235820245
505	2.234105241
506	2.232092911
507	2.231816676
508	2.231604377
509	2.229897612
510	2.229214635
511	2.226160313
512	2.224816976
513	2.221549057
514	2.221354523
515	2.220917056
516	2.218769408
517	2.216698315
518	2.214662467
519	2.213072804
520	2.211176166
521	2.209949981
522	2.207099137
523	2.20576481
524	2.203446085
525	2.200373078
526	2.199024995
527	2.197657031
528	2.196348395
529	2.192631326
530	2.190121702
531	2.188132835
532	2.185866585
533	2.183902763
534	2.182334395
535	2.180439736
536	2.177202832
537	2.176101652
538	2.173287317
539	2.172322449
540	2.170415093
541	2.167725582
542	2.165956187
543	2.165050399
544	2.163525048
545	2.160412287
546	2.159442127
547	2.157953411
548	2.15528656
549	2.153257451
550	2.150266979
551	2.14822765
552	2.146296058
553	2.146226971
554	2.144255537
555	2.14225258
556	2.140681023
557	2.138235541
558	2.136705493
559	2.135381082
560	2.1339269
561	2.132367806
562	2.130305019
563	2.129019503
564	2.12764576
565	2.125563072
566	2.123772553
567	2.122555369
568	2.122494188
569	2.120776133
570	2.118931913
571	2.116907033
572	2.114745508
573	2.111840215
574	2.109907395
575	2.106759974
576	2.105073014
577	2.10404071
578	2.103706425
579	2.103007078
580	2.10220589
581	2.098826634
582	2.096371623
583	2.094261563
584	2.092145284
585	2.090275853
586	2.089453035
587	2.087263042
588	2.085445207
589	2.083389674
590	2.081388335
591	2.080150682
592	2.078174832
593	2.075993226
594	2.074664583
595	2.073592367
596	2.071892857
597	2.069964381
598	2.067416566
599	2.065133197
600	2.06329781
601	2.062414239
602	2.061631428
603	2.06006645
604	2.058396864
605	2.057733025
606	2.057161739
607	2.054853035
608	2.053044152
609	2.051035641
610	2.049031443
611	2.045414163
612	2.043715877
613	2.041755508
614	2.040059478
615	2.038263321
616	2.035932458
617	2.033943916
618	2.03307899
619	2.031862436
620	2.03061102
621	2.027830963
622	2.024718126
623	2.022506173
624	2.021791733
625	2.019372289
626	2.017342533
627	2.016626083
628	2.016203009
629	2.015462144
630	2.013716036
631	2.012619198
632	2.011961201
633	2.010979952
634	2.009284787
635	2.00828504
636	2.006305197
637	2.005349784
638	2.004274368
639	2.002222912
640	2.000539543
641	1.99841976
642	1.997011144
643	1.994510476
644	1.993147522
645	1.990829448
646	1.987925975
647	1.987640517
648	1.986504879
649	1.985978357
650	1.985853673
651	1.984401023
652	1.982203275
653	1.980383951
654	1.979480511
655	1.977809847
656	1.974934461
657	1.97450354
658	1.974444279
659	1.972812113
660	1.971373535
661	1.970203773
662	1.96965889
663	1.96821045
664	1.968017222
665	1.96645301
666	1.965775314
667	1.96386051
668	1.963233665
669	1.96140248
670	1.959566112
671	1.95699525
672	1.955298165
673	1.952869782
674	1.951116416
675	1.949554791
676	1.94878592
677	1.948672193
678	1.948616137
679	1.946686081
680	1.945112517
681	1.945050121
682	1.94415968
683	1.941300154
684	1.939230373
685	1.938427084
686	1.937385721
687	1.935976997
688	1.934649081
689	1.931820311
690	1.929113687
691	1.928884974
692	1.928206444
693	1.926396622
694	1.925065803
695	1.923703188
696	1.923032771
697	1.92047191
698	1.919982287
699	1.917941527
700	1.916423161
701	1.914433339
702	1.914351796
703	1.911859096
704	1.910698721
705	1.909167639
706	1.907884407
707	1.90535647
708	1.904151417
709	1.902288072
710	1.899211664
711	1.897564065
712	1.897470786
713	1.895163326
714	1.893344196
715	1.892241727
716	1.890687824
717	1.888746312
718	1.887279521
719	1.886283215
720	1.886192574
721	1.884271526
722	1.88321859
723	1.881812054
724	1.879432805
725	1.877078593
726	1.875741753
727	1.874223557
728	1.872532776
729	1.870665456
730	1.86937205
731	1.868046238
732	1.865736065
733	1.86441561
734	1.862949922
735	1.861691993
736	1.86019345
737	1.858869041
738	1.857583657
739	1.855970532
740	1.854427952
741	1.852869931
742	1.851424751
743	1.851376367
744	1.848787819
745	1.847431382
746	1.847034284
747	1.844617433
748	1.843908495
749	1.842488991
750	1.841875421
751	1.841052543
752	1.83925534
753	1.837641049
754	1.83734304
755	1.835377654
756	1.834254559
757	1.832717866
758	1.830752322
759	1.829309159
760	1.82707624
761	1.826230837
762	1.824713085
763	1.823048734
764	1.821046124
765	1.820484328
766	1.819792259
767	1.818905416
768	1.817408379
769	1.817251358
770	1.816120141
771	1.814784605
772	1.814378843
773	1.812392578
774	1.811911716
775	1.809767594
776	1.807854746
777	1.806683821
778	1.804446747
779	1.803544666
780	1.802427575
781	1.802172221
782	1.801743578
783	1.800886402
784	1.799924075
785	1.799302144
786	1.798727605
787	1.797354515
788	1.795992619
789	1.794591711
790	1.794507164
791	1.793792
792	1.793108896
793	1.792782097
794	1.792323267
795	1.791087403
796	1.790394761
797	1.789073813
798	1.788121778
799	1.786041416
800	1.784631613
801	1.782941868
802	1.782414315
803	1.782264939
804	1.781499046
805	1.779991623
806	1.778309566
807	1.776582209
808	1.775760071
809	1.774635835
810	1.773099362
811	1.772924705
812	1.772760482
813	1.770441029
814	1.769159239
815	1.76806357
816	1.766807332
817	1.765248347
818	1.764386132
819	1.763255419
820	1.762678665
821	1.76147586
822	1.761380526
823	1.759999474
824	1.758280624
825	1.756238899
826	1.75471665
827	1.754591902
828	1.752985406
829	1.752450426
830	1.75082416
831	1.748901259
832	1.746913344
833	1.746848312
834	1.745647243
835	1.744448002
836	1.743021452
837	1.742642824
838	1.742451253
839	1.741338096
840	1.739871891
841	1.73854759
842	1.737353418
843	1.735003276
844	1.734763471
845	1.734583467
846	1.734328896
847	1.732966305
848	1.731966063
849	1.730513639
850	1.72982237
851	1.728575092
852	1.728463405
853	1.727631549
854	1.726716881
855	1.726000558
856	1.724493051
857	1.723359951
858	1.721491092
859	1.719039482
860	1.718467239
861	1.718438969
862	1.716443269
863	1.715919009
864	1.715005191
865	1.713667802
866	1.713613299
867	1.712551366
868	1.711134453
869	1.709853101
870	1.709806601
871	1.707596333
872	1.706535144
873	1.705284655
874	1.703943144
875	1.703064412
876	1.701897943
877	1.70100444
878	1.699785766
879	1.698530167
880	1.697617653
881	1.696276928
882	1.693831507
883	1.692487434
884	1.692308802
885	1.691898615
886	1.690958263
887	1.690309404
888	1.688536073
889	1.687954358
890	1.687528918
891	1.687431201
892	1.685400174
893	1.683170209
894	1.682840923
895	1.68164057
896	1.680559302
897	1.680480899
898	1.679215966
899	1.678116384
900	1.677192189
901	1.675481447
902	1.674250635
903	1.674204468
904	1.673412657
905	1.672114448
906	1.670371917
907	1.670319327
908	1.670073178
909	1.669151399
910	1.666745817
911	1.666246425
912	1.664207947
913	1.663581705
914	1.662017144
915	1.661864686
916	1.66177587
917	1.66175446
918	1.661597124
919	1.661566245
920	1.660261779
921	1.659438444
922	1.657836938
923	1.655834586
924	1.654190377
925	1.65279142
926	1.652249157
927	1.651337024
928	1.650089485
929	1.648844239
930	1.648350391
931	1.64720271
932	1.646236
933	1.645518884
934	1.643985726
935	1.642842307
936	1.641397348
937	1.63966489
938	1.638499468
939	1.63729134
940	1.636261234
941	1.635277821
942	1.634639927
943	1.634490373
944	1.633174893
945	1.63163284
946	1.63146687
947	1.630676635
948	1.629951474
949	1.628944099
950	1.628788231
951	1.628662905
952	1.628607449
953	1.628400391
954	1.626552615
955	1.62590541
956	1.625495483
957	1.624060114
958	1.623060873
959	1.622261589
960	1.620128577
961	1.618564087
962	1.616818551
963	1.616603145
964	1.615433608
965	1.614591011
966	1.61360548
967	1.611979906
968	1.611933373
969	1.610575834
970	1.609245499
971	1.60781788
972	1.60703872
973	1.605190815
974	1.603954113
975	1.603715732
976	1.601904356
977	1.60072937
978	1.599720387
979	1.599264245
980	1.598154782
981	1.598100819
982	1.596625642
983	1.595881936
984	1.594901084
985	1.593901686
986	1.593825872
987	1.591854753
988	1.591456145
989	1.589904794
990	1.588740669
991	1.588340732
992	1.587942871
993	1.587659173
994	1.587593389
995	1.586656614
996	1.584793717
997	1.583527071
998	1.582647247
999	1.581942196
