iter	Passed	Remaining
0	0	505
1	0	480
2	1	470
3	1	453
4	2	443
5	2	496
6	4	571
7	4	615
8	5	636
9	6	653
10	7	687
11	8	698
12	9	704
13	10	733
14	11	746
15	12	747
16	13	757
17	13	755
18	14	754
19	15	746
20	16	746
21	16	739
22	17	747
23	18	747
24	19	743
25	19	739
26	20	735
27	21	736
28	22	741
29	22	737
30	23	734
31	24	733
32	24	726
33	25	720
34	25	715
35	26	702
36	26	694
37	27	692
38	27	687
39	28	683
40	29	679
41	29	674
42	30	669
43	30	664
44	31	660
45	31	653
46	32	649
47	32	645
48	32	640
49	33	636
50	34	632
51	34	627
52	34	623
53	35	618
54	35	614
55	36	610
56	36	606
57	37	602
58	37	598
59	37	593
60	38	590
61	38	586
62	39	582
63	39	579
64	40	575
65	40	572
66	40	569
67	41	565
68	41	562
69	42	559
70	42	556
71	42	553
72	43	550
73	43	548
74	44	545
75	44	542
76	45	539
77	45	537
78	45	534
79	46	531
80	46	529
81	46	525
82	47	522
83	47	520
84	48	518
85	48	515
86	48	514
87	49	511
88	49	509
89	50	507
90	50	505
91	51	503
92	51	501
93	51	499
94	52	497
95	52	495
96	53	493
97	53	492
98	53	490
99	54	487
100	54	485
101	54	483
102	55	482
103	55	480
104	56	479
105	56	478
106	57	477
107	57	476
108	58	474
109	58	473
110	59	472
111	59	471
112	59	469
113	60	468
114	60	467
115	61	466
116	61	464
117	62	463
118	62	462
119	62	460
120	63	459
121	63	457
122	64	456
123	64	455
124	64	454
125	65	452
126	65	451
127	66	450
128	66	449
129	66	448
130	67	447
131	67	446
132	68	443
133	68	442
134	68	441
135	69	439
136	69	438
137	70	437
138	70	436
139	70	435
140	71	434
141	71	433
142	72	432
143	72	431
144	73	430
145	73	429
146	73	428
147	74	426
148	74	425
149	74	424
150	75	422
151	75	421
152	76	420
153	76	420
154	76	419
155	77	418
156	77	418
157	78	417
158	78	416
159	79	416
160	79	415
161	80	414
162	80	413
163	80	412
164	81	412
165	81	411
166	82	410
167	82	410
168	83	409
169	83	409
170	84	408
171	84	408
172	85	408
173	85	407
174	86	407
175	86	406
176	87	406
177	87	406
178	88	405
179	89	405
180	89	405
181	89	403
182	90	403
183	90	402
184	91	402
185	91	401
186	92	401
187	92	400
188	93	400
189	93	399
190	94	399
191	94	398
192	95	398
193	95	397
194	96	397
195	96	396
196	97	396
197	97	396
198	98	395
199	98	395
200	99	394
201	99	394
202	100	394
203	100	393
204	101	393
205	101	393
206	102	392
207	103	392
208	103	391
209	104	391
210	104	391
211	105	390
212	105	390
213	106	390
214	106	389
215	107	389
216	107	389
217	108	388
218	108	388
219	109	388
220	109	387
221	110	387
222	110	386
223	111	385
224	111	384
225	112	384
226	112	384
227	113	383
228	113	383
229	114	383
230	114	382
231	115	382
232	116	381
233	116	381
234	117	381
235	117	380
236	118	380
237	118	380
238	119	379
239	119	379
240	120	379
241	120	378
242	121	378
243	121	377
244	122	377
245	122	376
246	123	376
247	124	376
248	124	375
249	125	375
250	125	375
251	126	374
252	126	374
253	127	373
254	127	373
255	128	373
256	128	372
257	129	372
258	130	371
259	130	371
260	131	371
261	131	370
262	132	370
263	132	370
264	133	369
265	133	369
266	134	368
267	134	368
268	135	367
269	135	367
270	136	366
271	136	365
272	137	365
273	137	364
274	138	364
275	138	363
276	139	362
277	139	362
278	139	361
279	140	361
280	140	360
281	141	360
282	141	359
283	142	359
284	142	358
285	143	357
286	143	357
287	144	356
288	144	356
289	145	355
290	145	355
291	146	354
292	146	354
293	147	353
294	147	352
295	148	352
296	148	351
297	148	350
298	149	350
299	149	349
300	150	349
301	150	348
302	151	347
303	151	347
304	152	346
305	152	345
306	152	345
307	153	344
308	153	344
309	154	343
310	154	342
311	155	342
312	155	341
313	156	341
314	156	340
315	157	339
316	157	339
317	157	338
318	158	337
319	158	337
320	159	336
321	159	336
322	160	335
323	160	334
324	160	334
325	161	333
326	161	333
327	162	332
328	162	331
329	163	331
330	163	330
331	164	330
332	164	329
333	164	328
334	165	328
335	165	327
336	166	326
337	166	326
338	167	325
339	167	325
