iter	RMSE
0	14.64183031
1	14.24733384
2	13.81067577
3	13.44720295
4	13.04048787
5	12.67047099
6	12.29383181
7	11.93151076
8	11.59778313
9	11.3003589
10	10.99699863
11	10.70884352
12	10.40672993
13	10.12135451
14	9.865270518
15	9.604782715
16	9.365254804
17	9.129347317
18	8.91388195
19	8.694541209
20	8.500644501
21	8.285918165
22	8.087307012
23	7.890544413
24	7.719210061
25	7.556252402
26	7.375440582
27	7.211735676
28	7.056736673
29	6.907513768
30	6.764584717
31	6.618838116
32	6.474555946
33	6.34630552
34	6.225472264
35	6.11060184
36	5.995164864
37	5.872999326
38	5.760308012
39	5.665524504
40	5.566124054
41	5.490993946
42	5.405877335
43	5.322467886
44	5.241668891
45	5.171157862
46	5.10271099
47	5.035048246
48	4.971617592
49	4.89922183
50	4.840842721
51	4.777562044
52	4.720385969
53	4.668185707
54	4.61088841
55	4.554398559
56	4.511052163
57	4.466272223
58	4.420523505
59	4.377026286
60	4.335902338
61	4.291974701
62	4.250247684
63	4.209456251
64	4.172376098
65	4.140788343
66	4.105539658
67	4.074167181
68	4.042007101
69	4.010670108
70	3.982276677
71	3.955263642
72	3.928207705
73	3.90378685
74	3.879826939
75	3.854983523
76	3.831624382
77	3.810962434
78	3.793775503
79	3.776248051
80	3.758473686
81	3.737749925
82	3.720922674
83	3.701382753
84	3.681244439
85	3.665265135
86	3.648686527
87	3.631928558
88	3.620175044
89	3.607169419
90	3.591235184
91	3.576754885
92	3.564940974
93	3.553762614
94	3.543104566
95	3.534425511
96	3.524638941
97	3.51331071
98	3.501523224
99	3.489772376
100	3.476773289
101	3.466355234
102	3.456002146
103	3.445503948
104	3.436665857
105	3.427358461
106	3.419428247
107	3.412593809
108	3.406821319
109	3.39800878
110	3.390839295
111	3.38325789
112	3.377314313
113	3.371303711
114	3.366365123
115	3.360233396
116	3.353302107
117	3.34579315
118	3.340189215
119	3.334043797
120	3.326300346
121	3.320152364
122	3.315906561
123	3.310277271
124	3.304697017
125	3.301337619
126	3.297099437
127	3.292784688
128	3.286479996
129	3.282200485
130	3.276902377
131	3.272801097
132	3.268743362
133	3.26392876
134	3.258808215
135	3.251411124
136	3.248009652
137	3.244720756
138	3.240722439
139	3.237157551
140	3.233413754
141	3.230378292
142	3.224586019
143	3.220743987
144	3.216831086
145	3.213473334
146	3.211633891
147	3.20964227
148	3.207053934
149	3.201703311
150	3.196003293
151	3.192129157
152	3.190128745
153	3.188171712
154	3.184853775
155	3.182460185
156	3.177176628
157	3.174434899
158	3.171303464
159	3.167858156
160	3.164097283
161	3.160925474
162	3.159783583
163	3.157369178
164	3.1549967
165	3.151267421
166	3.14774133
167	3.144284599
168	3.139452204
169	3.135764685
170	3.134006482
171	3.131371227
172	3.127659207
173	3.125519756
174	3.123270791
175	3.121077147
176	3.119568841
177	3.116833755
178	3.113526726
179	3.110025827
180	3.105774254
181	3.103836551
182	3.101688863
183	3.099543941
184	3.097674234
185	3.096036532
186	3.093292226
187	3.090614637
188	3.088955718
189	3.086444984
190	3.086187381
191	3.084638666
192	3.082229065
193	3.080301651
194	3.078031901
195	3.075550303
196	3.073990835
197	3.072272038
198	3.070164912
199	3.067720295
200	3.066151732
201	3.062516491
202	3.05983906
203	3.05747715
204	3.053449795
205	3.050957762
206	3.048158992
207	3.046054551
208	3.043531123
209	3.040846971
210	3.038300316
211	3.037320287
212	3.033903478
213	3.031546689
214	3.029662598
215	3.027320839
216	3.024505726
217	3.021825815
218	3.020627374
219	3.019281119
220	3.016661183
221	3.014035186
222	3.011473269
223	3.009665927
224	3.00616606
225	3.005475226
226	3.004082681
227	3.001112704
228	2.999219266
229	2.997795597
230	2.995693091
231	2.992896165
232	2.990607149
233	2.990027758
234	2.98882229
235	2.985172691
236	2.98137997
237	2.97925777
238	2.976233228
239	2.973277297
240	2.971921023
241	2.971352754
242	2.970639824
243	2.968217438
244	2.966040812
245	2.964865874
246	2.962497194
247	2.960581294
248	2.960152618
249	2.958388901
250	2.956483492
251	2.953757115
252	2.951912224
253	2.950081732
254	2.947755449
255	2.947161928
256	2.945103177
257	2.942350739
258	2.940595714
259	2.938498251
260	2.936566903
261	2.93502496
262	2.934377046
263	2.933788002
264	2.931302624
265	2.928428441
266	2.926422136
267	2.924431051
268	2.923167135
269	2.921249007
270	2.920145277
271	2.91754175
272	2.914338948
273	2.913264206
274	2.910547833
275	2.908727139
276	2.906935011
277	2.905522445
278	2.902854018
279	2.899917541
280	2.897227794
281	2.895378995
282	2.894560611
283	2.893672695
284	2.891477533
285	2.890771763
286	2.890387907
287	2.888141045
288	2.884253553
289	2.882197748
290	2.880840677
291	2.878413392
292	2.874848463
293	2.873361758
294	2.870864686
295	2.869110422
296	2.866845072
297	2.865200992
298	2.862741932
299	2.860943523
300	2.860443471
301	2.859444024
302	2.85629944
303	2.854696561
304	2.85089487
305	2.848920794
306	2.847783194
307	2.845717724
308	2.844441346
309	2.843376426
310	2.840095381
311	2.834660571
312	2.833407709
313	2.82963699
314	2.828471709
315	2.825569746
316	2.824626933
317	2.822663783
318	2.821971883
319	2.820115731
320	2.816545072
321	2.814821786
322	2.813562658
