iter	Passed	Remaining
0	1	1708
1	3	1868
2	6	2177
3	9	2311
4	12	2410
5	14	2449
6	17	2526
7	20	2543
8	23	2543
9	25	2503
10	27	2487
11	30	2481
12	31	2403
13	34	2406
14	36	2381
15	38	2361
16	40	2333
17	43	2354
18	45	2350
19	47	2339
20	50	2337
21	52	2333
22	54	2300
23	56	2307
24	58	2287
25	60	2264
26	62	2257
27	64	2246
28	66	2216
29	68	2201
30	70	2195
31	72	2202
32	75	2201
33	77	2201
34	79	2182
35	81	2179
36	83	2171
37	85	2170
38	88	2172
39	89	2159
40	91	2150
41	93	2143
42	96	2145
43	98	2149
44	101	2150
45	103	2151
46	105	2145
47	108	2143
48	110	2140
49	112	2140
50	114	2137
51	117	2133
52	119	2127
53	120	2118
54	123	2115
55	125	2113
56	127	2105
57	129	2105
58	131	2105
59	133	2097
60	136	2098
61	138	2094
62	140	2090
63	142	2085
64	144	2083
65	147	2083
66	149	2078
67	151	2075
68	153	2072
69	155	2068
70	157	2065
71	160	2067
72	162	2069
73	165	2069
74	167	2069
75	169	2065
76	172	2062
77	174	2060
78	176	2056
79	178	2049
80	180	2049
81	182	2046
82	184	2042
83	187	2040
84	188	2033
85	190	2028
86	192	2021
87	194	2012
88	196	2006
89	198	2002
90	199	1997
91	201	1988
92	203	1985
93	205	1975
94	206	1969
95	208	1959
96	210	1957
97	212	1953
98	214	1948
99	216	1947
100	218	1947
101	221	1948
102	223	1945
103	225	1940
104	227	1934
105	228	1929
106	230	1923
107	232	1917
108	233	1911
109	235	1906
110	237	1900
111	238	1894
112	240	1889
113	242	1885
114	243	1877
115	245	1870
116	246	1861
117	247	1852
118	249	1845
119	250	1839
120	252	1835
121	254	1830
122	255	1825
123	257	1819
124	258	1811
125	259	1801
126	261	1794
127	262	1788
128	264	1783
129	265	1780
130	267	1775
131	269	1770
132	270	1765
133	272	1759
134	273	1754
135	275	1749
136	277	1745
137	278	1739
138	280	1735
139	281	1731
140	283	1726
141	285	1723
142	287	1720
143	288	1716
144	290	1713
145	294	1720
146	295	1713
147	296	1707
148	298	1705
149	300	1704
150	302	1701
151	304	1698
152	306	1695
153	307	1691
154	309	1688
155	311	1685
156	313	1682
157	314	1678
158	316	1673
159	317	1668
160	319	1666
161	321	1663
162	323	1659
163	325	1657
164	326	1654
165	328	1650
166	329	1645
167	331	1642
168	333	1639
